schwebung 19.2cm
18.535 -1.115 1.611
18.560 -1.404 1.562
18.585 -1.626 1.489
18.610 -1.892 1.441
18.635 -2.114 1.392
18.660 -2.336 1.344
18.685 -2.492 1.319
18.710 -2.714 1.271
18.735 -2.803 1.222
18.760 -2.891 1.173
18.785 -3.025 1.003
18.810 -3.202 0.979
18.835 -3.180 0.906
18.860 -3.224 0.858
18.885 -3.291 0.760
18.910 -3.313 0.663
18.935 -3.202 0.590
18.960 -3.113 0.566
18.985 -3.002 0.469
19.010 -2.891 0.445
19.035 -2.736 0.347
19.060 -2.647 0.347
19.085 -2.470 0.299
19.110 -2.292 0.299
19.135 -2.070 0.201
19.160 -1.848 0.177
19.185 -1.670 0.153
19.210 -1.360 0.201
19.235 -1.071 0.177
19.260 -0.827 0.226
19.285 -0.560 0.153
19.310 -0.250 0.274
19.335 -0.072 0.274
19.360 0.150 0.299
19.385 0.416 0.372
19.410 0.638 0.420
19.435 0.905 0.493
19.460 1.082 0.639
19.485 1.260 0.663
19.510 1.393 0.760
19.535 1.571 0.785
19.560 1.704 0.930
19.585 1.837 1.028
19.610 1.882 1.149
19.635 1.904 1.222
19.660 1.948 1.319
19.685 1.948 1.392
19.710 1.926 1.514
19.735 1.904 1.587
19.760 1.793 1.635
19.785 1.704 1.732
19.810 1.637 1.854
19.835 1.438 1.878
19.860 1.216 1.975
19.885 1.082 2.000
19.910 0.860 2.073
19.935 0.683 2.121
19.960 0.461 2.121
19.985 0.217 2.170
20.010 -0.028 2.243
20.035 -0.272 2.194
20.060 -0.538 2.243
20.085 -0.782 2.145
20.110 -1.049 2.121
20.135 -1.337 2.048
20.160 -1.582 2.048
20.185 -1.759 1.927
20.210 -2.003 1.878
20.235 -2.225 1.805
20.260 -2.425 1.684
20.285 -2.558 1.635
20.310 -2.714 1.441
20.335 -2.869 1.344
20.360 -2.936 1.271
20.385 -3.002 1.149
20.410 -3.091 1.028
20.435 -3.136 0.882
20.460 -3.136 0.809
20.485 -3.158 0.760
20.510 -3.136 0.542
20.535 -3.069 0.493
20.560 -2.980 0.372
20.585 -2.803 0.226
20.610 -2.714 0.080
20.635 -2.603 0.007
20.660 -2.447 -0.066
20.685 -2.270 -0.163
20.710 -2.048 -0.163
20.735 -1.826 -0.284
20.760 -1.604 -0.284
20.785 -1.360 -0.333
20.810 -1.182 -0.333
20.835 -0.893 -0.333
20.860 -0.649 -0.309
20.885 -0.449 -0.284
20.910 -0.139 -0.187
20.935 0.106 -0.163
20.960 0.350 -0.114
20.985 0.527 -0.041
21.010 0.749 0.056
21.035 0.949 0.177
21.060 1.127 0.274
21.085 1.304 0.396
21.110 1.460 0.493
21.135 1.615 0.663
21.160 1.660 0.736
21.185 1.748 0.906
21.210 1.837 1.101
21.235 1.859 1.222
21.260 1.837 1.416
21.285 1.793 1.562
21.310 1.771 1.611
21.335 1.726 1.757
21.360 1.660 1.927
21.385 1.593 2.073
21.410 1.460 2.145
21.435 1.282 2.243
21.460 1.060 2.389
21.485 0.794 2.413
21.510 0.616 2.510
21.535 0.372 2.607
21.560 0.194 2.656
21.585 -0.005 2.704
21.610 -0.316 2.704
21.635 -0.538 2.729
21.660 -0.716 2.656
21.685 -1.004 2.631
21.710 -1.226 2.534
21.735 -1.537 2.534
21.760 -1.648 2.413
21.785 -1.937 2.340
21.810 -2.092 2.267
21.835 -2.270 2.170
21.860 -2.403 2.024
21.885 -2.603 1.805
21.910 -2.714 1.684
21.935 -2.847 1.514
21.960 -2.869 1.368
21.985 -3.025 1.246
22.010 -3.025 1.028
22.035 -3.047 0.809
22.060 -3.047 0.687
22.085 -3.002 0.590
22.110 -2.958 0.347
22.135 -2.869 0.201
22.160 -2.825 0.007
22.185 -2.625 -0.114
22.210 -2.492 -0.212
22.235 -2.425 -0.382
22.260 -2.203 -0.503
22.285 -1.981 -0.600
22.310 -1.781 -0.673
22.335 -1.582 -0.722
22.360 -1.360 -0.770
22.385 -1.182 -0.770
22.410 -0.916 -0.819
22.435 -0.716 -0.795
22.460 -0.472 -0.795
22.485 -0.227 -0.722
22.510 -0.005 -0.698
22.535 0.194 -0.576
22.560 0.483 -0.527
22.585 0.616 -0.455
22.610 0.816 -0.260
22.635 1.038 -0.066
22.660 1.216 0.056
22.685 1.327 0.274
22.710 1.438 0.420
22.735 1.549 0.566
22.760 1.571 0.712
22.785 1.660 0.955
22.810 1.726 1.101
22.835 1.704 1.344
22.860 1.704 1.538
22.885 1.704 1.732
22.910 1.637 1.951
22.935 1.504 2.073
22.960 1.460 2.243
22.985 1.282 2.413
23.010 1.127 2.583
23.035 0.927 2.704
23.060 0.794 2.777
23.085 0.616 2.923
23.110 0.416 2.972
23.135 0.217 3.093
23.160 -0.028 3.142
23.185 -0.272 3.215
23.210 -0.405 3.166
23.235 -0.671 3.166
23.260 -0.871 3.069
23.285 -1.160 2.972
23.310 -1.404 2.996
23.335 -1.626 2.899
23.360 -1.781 2.826
23.385 -1.937 2.680
23.410 -2.114 2.461
23.435 -2.292 2.340
23.460 -2.425 2.097
23.485 -2.536 1.975
23.510 -2.669 1.732
23.535 -2.736 1.562
23.560 -2.847 1.271
23.585 -2.914 1.149
23.610 -2.869 0.930
23.635 -2.825 0.687
23.660 -2.847 0.493
23.685 -2.869 0.299
23.710 -2.692 0.080
23.735 -2.647 -0.139
23.760 -2.581 -0.333
23.785 -2.425 -0.479
23.810 -2.270 -0.673
23.835 -2.137 -0.795
23.860 -1.959 -0.941
23.885 -1.804 -1.086
23.910 -1.582 -1.135
23.935 -1.426 -1.232
23.960 -1.204 -1.184
23.985 -0.982 -1.208
24.010 -0.738 -1.256
24.035 -0.494 -1.232
24.060 -0.272 -1.208
24.085 -0.072 -1.111
24.110 0.128 -0.989
24.135 0.305 -0.965
24.160 0.483 -0.770
24.185 0.638 -0.625
24.210 0.794 -0.455
24.235 0.971 -0.284
24.260 1.171 -0.090
24.285 1.282 0.153
24.310 1.371 0.299
24.335 1.438 0.566
24.360 1.526 0.809
