E_1 / keV	N_1	E_2 / keV	N_2	E_3 / keV	N_3	E_4 / keV	N_4	E_5 / keV	N_5	E_6 / keV	N_6	E_8 / keV	N_8
10.47	0	10.47	7	10.47	6	10.47	28	10.47	2	10.47	0	10.47	1
10.54	1	10.54	2	10.54	6	10.54	28	10.54	0	10.54	0	10.54	0
10.60	1	10.60	6	10.60	5	10.60	27	10.60	0	10.60	3	10.60	1
10.67	1	10.67	8	10.67	11	10.67	30	10.67	0	10.67	1	10.67	1
10.73	0	10.73	3	10.73	6	10.73	28	10.73	1	10.73	1	10.73	0
10.80	0	10.80	1	10.80	6	10.80	28	10.80	2	10.80	2	10.80	0
10.87	1	10.87	9	10.87	13	10.87	33	10.87	1	10.87	3	10.87	1
10.93	1	10.93	7	10.93	9	10.93	20	10.93	0	10.93	1	10.93	4
11.00	0	11.00	7	11.00	13	11.00	22	11.00	2	11.00	1	11.00	2
11.07	0	11.07	11	11.07	10	11.07	25	11.07	0	11.07	2	11.07	3
11.13	1	11.13	6	11.13	13	11.13	15	11.13	0	11.13	3	11.13	4
11.20	0	11.20	13	11.20	22	11.20	12	11.20	0	11.20	2	11.20	3
11.27	0	11.27	25	11.27	24	11.27	13	11.27	0	11.27	7	11.27	8
11.33	2	11.33	27	11.33	22	11.33	15	11.33	0	11.33	0	11.33	7
11.40	0	11.40	18	11.40	25	11.40	10	11.40	1	11.40	4	11.40	8
11.47	1	11.47	15	11.47	31	11.47	9	11.47	1	11.47	1	11.47	6
11.53	2	11.53	22	11.53	29	11.53	12	11.53	0	11.53	3	11.53	9
11.60	2	11.60	15	11.60	30	11.60	10	11.60	0	11.60	3	11.60	6
11.67	0	11.67	12	11.67	43	11.67	11	11.67	1	11.67	4	11.67	2
11.73	1	11.73	28	11.73	19	11.73	8	11.73	2	11.73	3	11.73	4
11.80	0	11.80	12	11.80	32	11.80	9	11.80	3	11.80	1	11.80	4
11.87	0	11.87	10	11.87	16	11.87	15	11.87	1	11.87	3	11.87	3
11.93	0	11.93	7	11.93	10	11.93	15	11.93	2	11.93	4	11.93	2
12.00	1	12.00	6	12.00	5	12.00	16	12.00	0	12.00	0	12.00	4
12.07	0	12.07	2	12.07	5	12.07	23	12.07	2	12.07	2	12.07	3
12.13	1	12.13	10	12.13	8	12.13	20	12.13	5	12.13	3	12.13	1
12.20	0	12.20	0	12.20	8	12.20	34	12.20	4	12.20	2	12.20	0
12.27	0	12.27	5	12.27	6	12.27	32	12.27	5	12.27	5	12.27	4
12.33	1	12.33	1	12.33	5	12.33	50	12.33	3	12.33	3	12.33	1
12.40	0	12.40	2	12.40	7	12.40	38	12.40	3	12.40	0	12.40	3
12.47	0	12.47	2	12.47	5	12.47	55	12.47	11	12.47	1	12.47	3
12.53	0	12.53	0	12.53	3	12.53	61	12.53	2	12.53	2	12.53	2
12.60	0	12.60	1	12.60	7	12.60	88	12.60	0	12.60	0	12.60	3
12.67	0	12.67	3	12.67	6	12.67	73	12.67	3	12.67	1	12.67	1
12.73	1	12.73	1	12.73	9	12.73	101	12.73	4	12.73	3	12.73	1
12.80	1	12.80	5	12.80	8	12.80	85	12.80	1	12.80	1	12.80	0
